,wmo,gain
0,4903365,1.041177717870145
1,1901210,1.0955152827074537
2,1901217,1.1139849744400765
3,1902578,1.0390353609088496
4,3901667,1.0506326847603176
5,3901668,1.0744813527807844
6,3901669,1.0718966536358872
7,4901801,1.0641168688980194
8,4903634,1.0376837051664995
9,5904988,1.079197194621304
10,5904989,1.076111568087976
11,5906994,1.064932747133676
12,6901022,1.0940757150416849
13,6901023,1.09433026983378
14,6901026,1.0976772913079258
15,6901030,1.1178937065689496
16,6901485,0.9999264520755344
17,6901486,0.997445575792248
18,6901646,1.0351855844161504
19,6901751,1.0755601276651796
20,6901753,1.1361544986212009
21,6901754,1.1106645496550842
22,6902686,1.1012125001127089
23,6902800,1.0848053188089808
24,6902802,1.0783147613656152
25,6902805,1.105404264553044
26,6902808,1.0987882181894513
27,6902818,1.0804516980547512
28,6902881,3.188514865811518
29,6902886,1.1304996590541494
30,6902888,1.1043492141963571
31,6902895,1.1125900757555598
32,6902967,1.139833886086594
33,6902976,1.1031342927767596
34,6903030,1.0931118000898634
35,6903032,1.0729659597495602
36,6903034,1.0916504755328589
37,6903039,1.0795237307346437
38,6903040,1.1037313927143864
39,6903041,1.107768968286822
40,6903042,1.1092115134339922
41,6903083,1.095992425518359
42,6903579,1.0611635982467165
43,6903873,1.0899861076499655
44,6904113,1.043489795097252
45,6904114,1.1080415944424795
46,6904115,1.0903468056024452
47,6904231,1.0867798530597623
48,6904240,1.0457794499429276
49,6904241,1.0321315541264384
50,6990526,1.0630108341123103
51,7900566,1.112610648578071
52,7900589,1.1015158137157637
53,7901027,1.0670175151499646
54,7901036,1.0694915771289475
55,7901037,1.0801180953223222
56,4901780,1.0597929957424004
57,4901782,1.0474352550282218
58,4902383,1.0400535505745931
59,4902384,1.0364016358236
60,4902386,0.999058346021481
61,4902409,1.0627554824703571
62,4902410,1.0570341878765075
63,4902480,1.827976349249811
64,4902481,1.0553372338372016
65,4902579,1.0753549370680278
66,4902580,1.0583399310875787
67,4902650,1.054643002353086
68,4902652,1.0386188062724446
69,4902684,1.0269098245432342
70,4902685,1.0361104261194964
